time_minutes,timestamp_ms,timestamp_local,station_name,kind
101.535933,1720096892156,2024-07-04T08:41:32.156-04:00,de Maisonneuve / Aylmer (ouest),rental
102.335850,1720096940151,2024-07-04T08:42:20.151-04:00,de Maisonneuve / Aylmer (ouest),return
103.489617,1720097009377,2024-07-04T08:43:29.377-04:00,Berri / Cherrier,return
103.844833,1720097030690,2024-07-04T08:43:50.690-04:00,de Maisonneuve / Aylmer (ouest),return
104.368083,1720097062085,2024-07-04T08:44:22.085-04:00,Berri / Cherrier,return
104.726950,1720097083617,2024-07-04T08:44:43.617-04:00,de Maisonneuve / Aylmer (ouest),rental
105.767083,1720097146025,2024-07-04T08:45:46.025-04:00,de Maisonneuve / Aylmer (ouest),return
106.076467,1720097164588,2024-07-04T08:46:04.588-04:00,Berri / Cherrier,return
106.296867,1720097177812,2024-07-04T08:46:17.812-04:00,Berri / Cherrier,rental
107.291133,1720097237468,2024-07-04T08:47:17.468-04:00,Prince-Arthur / St-Urbain,return
107.442500,1720097246550,2024-07-04T08:47:26.550-04:00,Berri / Cherrier,rental
108.274883,1720097296493,2024-07-04T08:48:16.493-04:00,Prince-Arthur / St-Urbain,return
108.498267,1720097309896,2024-07-04T08:48:29.896-04:00,Berri / Cherrier,rental
108.677883,1720097320673,2024-07-04T08:48:40.673-04:00,Prince-Arthur / St-Urbain,rental
108.739883,1720097324393,2024-07-04T08:48:44.393-04:00,Prince-Arthur / St-Urbain,rental
109.707867,1720097382472,2024-07-04T08:49:42.472-04:00,Prince-Arthur / St-Urbain,rental
109.854183,1720097391251,2024-07-04T08:49:51.251-04:00,Berri / Cherrier,return
110.449267,1720097426956,2024-07-04T08:50:26.956-04:00,de Maisonneuve / Aylmer (ouest),rental
110.517350,1720097431041,2024-07-04T08:50:31.041-04:00,de Maisonneuve / Aylmer (ouest),rental
110.605883,1720097436353,2024-07-04T08:50:36.353-04:00,de Maisonneuve / Aylmer (ouest),return
110.775917,1720097446555,2024-07-04T08:50:46.555-04:00,Prince-Arthur / St-Urbain,rental
110.985017,1720097459101,2024-07-04T08:50:59.101-04:00,de Maisonneuve / Aylmer (ouest),return
111.029350,1720097461761,2024-07-04T08:51:01.761-04:00,Berri / Cherrier,rental
112.027450,1720097521647,2024-07-04T08:52:01.647-04:00,Berri / Cherrier,return
112.864683,1720097571881,2024-07-04T08:52:51.881-04:00,Berri / Cherrier,rental
114.171233,1720097650274,2024-07-04T08:54:10.274-04:00,Prince-Arthur / St-Urbain,rental
114.405983,1720097664359,2024-07-04T08:54:24.359-04:00,Prince-Arthur / St-Urbain,rental
114.676583,1720097680595,2024-07-04T08:54:40.595-04:00,Prince-Arthur / St-Urbain,rental
115.093467,1720097705608,2024-07-04T08:55:05.608-04:00,Berri / Cherrier,return
115.988167,1720097759290,2024-07-04T08:55:59.290-04:00,de Maisonneuve / Aylmer (ouest),return
116.169833,1720097770190,2024-07-04T08:56:10.190-04:00,de Maisonneuve / Aylmer (ouest),return
116.536417,1720097792185,2024-07-04T08:56:32.185-04:00,Prince-Arthur / St-Urbain,return
116.903433,1720097814206,2024-07-04T08:56:54.206-04:00,Prince-Arthur / St-Urbain,return
117.072400,1720097824344,2024-07-04T08:57:04.344-04:00,de Maisonneuve / Aylmer (ouest),return
118.079267,1720097884756,2024-07-04T08:58:04.756-04:00,Berri / Cherrier,return
118.133433,1720097888006,2024-07-04T08:58:08.006-04:00,Berri / Cherrier,return
118.192783,1720097891567,2024-07-04T08:58:11.567-04:00,de Maisonneuve / Aylmer (ouest),return
118.415667,1720097904940,2024-07-04T08:58:24.940-04:00,Prince-Arthur / St-Urbain,rental
118.659417,1720097919565,2024-07-04T08:58:39.565-04:00,de Maisonneuve / Aylmer (ouest),return
118.845033,1720097930702,2024-07-04T08:58:50.702-04:00,de Maisonneuve / Aylmer (ouest),return
119.351533,1720097961092,2024-07-04T08:59:21.092-04:00,de Maisonneuve / Aylmer (ouest),return
119.474850,1720097968491,2024-07-04T08:59:28.491-04:00,de Maisonneuve / Aylmer (ouest),return
119.819333,1720097989160,2024-07-04T08:59:49.160-04:00,Berri / Cherrier,rental
119.961217,1720097997673,2024-07-04T08:59:57.673-04:00,Berri / Cherrier,rental
120.063217,1720098003793,2024-07-04T09:00:03.793-04:00,Berri / Cherrier,rental
120.084650,1720098005079,2024-07-04T09:00:05.079-04:00,de Maisonneuve / Aylmer (ouest),return
120.617167,1720098037030,2024-07-04T09:00:37.030-04:00,Prince-Arthur / St-Urbain,rental
121.394633,1720098083678,2024-07-04T09:01:23.678-04:00,de Maisonneuve / Aylmer (ouest),return
123.310450,1720098198627,2024-07-04T09:03:18.627-04:00,Prince-Arthur / St-Urbain,return
123.499050,1720098209943,2024-07-04T09:03:29.943-04:00,de Maisonneuve / Aylmer (ouest),return
125.184100,1720098311046,2024-07-04T09:05:11.046-04:00,de Maisonneuve / Aylmer (ouest),return
125.776650,1720098346599,2024-07-04T09:05:46.599-04:00,de Maisonneuve / Aylmer (ouest),return
126.677067,1720098400624,2024-07-04T09:06:40.624-04:00,Prince-Arthur / St-Urbain,return
126.917100,1720098415026,2024-07-04T09:06:55.026-04:00,de Maisonneuve / Aylmer (ouest),return
127.160983,1720098429659,2024-07-04T09:07:09.659-04:00,de Maisonneuve / Aylmer (ouest),return
127.328317,1720098439699,2024-07-04T09:07:19.699-04:00,de Maisonneuve / Aylmer (ouest),return
127.402550,1720098444153,2024-07-04T09:07:24.153-04:00,de Maisonneuve / Aylmer (ouest),return
127.479767,1720098448786,2024-07-04T09:07:28.786-04:00,de Maisonneuve / Aylmer (ouest),return
127.625767,1720098457546,2024-07-04T09:07:37.546-04:00,de Maisonneuve / Aylmer (ouest),return
128.041133,1720098482468,2024-07-04T09:08:02.468-04:00,Prince-Arthur / St-Urbain,rental
128.720433,1720098523226,2024-07-04T09:08:43.226-04:00,de Maisonneuve / Aylmer (ouest),return
128.836683,1720098530201,2024-07-04T09:08:50.201-04:00,de Maisonneuve / Aylmer (ouest),return
129.611033,1720098576662,2024-07-04T09:09:36.662-04:00,Berri / Cherrier,return
