clock_mhz,phase,prompt_tokens,concurrency,batches,tokens_per_s,minimum_tokens_per_s,maximum_tokens_per_s,power_w,realized_clock_mhz,source,plotted
660,prefill,4096,1,5,2430.0452878209744,2428.972941051588,2430.377210705974,54.258235294117654,660.0,derived_legacy_l4_measurements,False
660,prefill,4096,4,5,2440.7452667356224,2439.9884378324355,2440.835555092531,55.125671641791044,660.0,derived_legacy_l4_measurements,False
660,prefill,4096,8,5,2442.783381249573,2442.3535856989974,2443.2570831568273,56.27455223880598,660.0,derived_legacy_l4_measurements,False
1125,decode,128,1,5,17.561384367825266,17.559798272190488,17.56205259158585,64.23256756756759,1123.150684931507,derived_legacy_l4_measurements,False
1125,decode,128,4,5,67.20389373771647,67.1913176196242,67.23387451097031,61.96815789473686,1117.3026315789473,derived_legacy_l4_measurements,False
1125,decode,128,8,5,131.19256479175044,131.12620426034135,131.29801579746226,62.029113924050655,1118.1645569620252,derived_legacy_l4_measurements,False
1125,decode,1024,1,5,17.50676832340564,17.50024891761376,17.508388145719504,64.5256,1114.4,derived_legacy_l4_measurements,True
1125,decode,1024,4,5,60.55299298739211,60.46254408718633,60.679381996525244,62.018636363636354,1091.0795454545455,derived_legacy_l4_measurements,True
1125,decode,1024,8,5,105.35338424887738,104.88006189933886,105.70220708087577,63.35148514851484,1063.960396039604,derived_legacy_l4_measurements,True
1125,prefill,128,1,5,1695.862372707362,1679.961020711359,1711.4422294202482,30.69,1125.0,derived_legacy_l4_measurements,False
1125,prefill,128,4,5,2442.384868419943,2439.634484805732,2467.418997184823,46.32,915.0,derived_legacy_l4_measurements,False
1125,prefill,128,8,5,2981.4399279285212,2917.3989983952474,2996.646676281666,62.35,960.0,derived_legacy_l4_measurements,False
1125,prefill,512,1,5,3032.752908070092,2884.4999731942644,3107.0145690273216,51.51,810.0,derived_legacy_l4_measurements,False
1125,prefill,512,4,5,3258.15305312999,3182.489594168578,3382.6369627922636,63.916666666666664,872.5,derived_legacy_l4_measurements,False
1125,prefill,512,8,5,3379.777767431559,3355.295072086978,3392.348460815292,65.00750000000001,893.75,derived_legacy_l4_measurements,False
1125,prefill,2048,1,5,3484.1556549989973,3426.730926035333,3579.8645824949276,66.72166666666666,917.5,derived_legacy_l4_measurements,True
1125,prefill,2048,4,5,3428.700196161705,3402.2080746543725,3450.711060273344,63.940000000000005,911.875,derived_legacy_l4_measurements,True
1125,prefill,2048,8,5,3402.4048274571674,3373.2688908138807,3447.300039544905,65.20541666666664,903.4375,derived_legacy_l4_measurements,True
1125,prefill,4096,1,5,3380.822758494037,3378.111596345102,3384.507933354002,65.75583333333333,940.0,derived_legacy_l4_measurements,False
1125,prefill,4096,4,5,3338.752018769453,3302.911061668283,3372.064855027772,65.23244897959184,924.4897959183673,derived_legacy_l4_measurements,False
1125,prefill,4096,8,5,3231.73369053484,3180.6834151579865,3312.0624049739276,64.8066,888.5294117647059,derived_legacy_l4_measurements,False
1575,decode,128,1,5,17.53893755551061,17.405735763336036,17.600607501570664,64.75878378378378,1070.958904109589,derived_legacy_l4_measurements,False
1575,decode,128,4,5,67.6423779737086,67.56999663273717,67.71432420709544,64.81947368421052,1313.4868421052631,derived_legacy_l4_measurements,False
1575,decode,128,8,5,131.92560855792328,131.7236240429514,131.96705468976478,64.69679487179489,1282.5,derived_legacy_l4_measurements,False
1575,decode,1024,1,5,17.539998998180472,17.493906346911636,17.548011197318548,64.83466666666668,1176.5131578947369,derived_legacy_l4_measurements,True
1575,decode,1024,4,5,60.98630370503567,60.75686761045881,61.147108827343324,64.86000000000001,1266.8181818181818,derived_legacy_l4_measurements,True
1575,decode,1024,8,5,105.92420501368025,105.01933440159775,106.42486382297403,64.81693069306932,1185.5940594059407,derived_legacy_l4_measurements,True
1575,prefill,128,1,5,1720.8997003344411,1713.5513963210665,1732.2039958694763,31.02,1215.0,derived_legacy_l4_measurements,False
1575,prefill,128,4,5,2475.571608152945,2365.883035071155,2507.585298599711,58.89,1005.0,derived_legacy_l4_measurements,False
1575,prefill,128,8,5,2938.296069484215,2844.4978182805244,2991.626361851732,64.32749999999999,1000.0,derived_legacy_l4_measurements,False
1575,prefill,512,1,5,3058.9249800126286,2936.151936727396,3069.121624279393,58.04,780.0,derived_legacy_l4_measurements,False
1575,prefill,512,4,5,3289.2739478050903,3164.833424284064,3359.835909286329,64.20166666666667,855.0,derived_legacy_l4_measurements,False
1575,prefill,512,8,5,3376.531197338874,3353.5768940442554,3392.3118102750254,63.31083333333334,871.25,derived_legacy_l4_measurements,False
1575,prefill,2048,1,5,3500.252352300117,3424.4691533982495,3642.5819221120073,67.58166666666666,930.0,derived_legacy_l4_measurements,True
1575,prefill,2048,4,5,3433.5330083104895,3396.0431198425244,3472.1176214292323,64.54166666666666,920.625,derived_legacy_l4_measurements,True
1575,prefill,2048,8,5,3416.180070347754,3376.353058341487,3441.713582356833,65.03250000000001,905.1063829787234,derived_legacy_l4_measurements,True
1575,prefill,4096,1,5,3376.0631964606823,3342.089629921983,3399.5355759659324,65.74583333333332,927.5,derived_legacy_l4_measurements,False
1575,prefill,4096,4,5,3307.2375362589905,3288.1558164384614,3361.9447140306333,65.42448979591835,913.7755102040817,derived_legacy_l4_measurements,False
1575,prefill,4096,8,5,3200.9127680963534,3161.0190285817202,3298.640463772412,64.87656565656563,879.1176470588235,derived_legacy_l4_measurements,False
2040,decode,128,1,5,17.58229297740499,17.512809928223135,17.60019325799518,64.87287671232878,1170.0,derived_legacy_l4_measurements,False
2040,decode,128,4,5,67.632816440572,67.5463841701487,67.64692987607054,64.93105263157895,1321.7763157894738,derived_legacy_l4_measurements,False
2040,decode,128,8,5,131.69420643943602,131.58668125564256,131.81104547606174,64.8194871794872,1270.0,derived_legacy_l4_measurements,False
2040,decode,1024,1,5,17.52675196787119,17.487859898054122,17.54467542199855,64.86289473684208,1152.828947368421,derived_legacy_l4_measurements,True
2040,decode,1024,4,5,60.97604636368259,60.72586953721064,61.17101914940625,64.80080459770114,1263.448275862069,derived_legacy_l4_measurements,True
2040,decode,1024,8,5,105.58099184833924,105.11653359518512,106.30092033211608,64.8955882352941,1168.9705882352941,derived_legacy_l4_measurements,True
2040,prefill,128,1,5,1718.4536779200555,1713.8872278672457,1729.8085996556367,32.19,1425.0,derived_legacy_l4_measurements,False
2040,prefill,128,4,5,2435.0949112732355,2404.913874094482,2458.9908760597673,51.12,982.5,derived_legacy_l4_measurements,False
2040,prefill,128,8,5,2912.430664490874,2818.7985842729636,2997.9500374818176,63.64000000000001,1030.0,derived_legacy_l4_measurements,False
2040,prefill,512,1,5,3094.2969966938995,2937.2281529247757,3128.0792602979554,39.005,810.0,derived_legacy_l4_measurements,False
2040,prefill,512,4,5,3238.643530021871,3163.811474088109,3378.5023647726644,63.943333333333335,912.5,derived_legacy_l4_measurements,False
2040,prefill,512,8,5,3390.2129230992687,3333.8709227319036,3411.724693768432,63.290833333333325,876.25,derived_legacy_l4_measurements,False
2040,prefill,2048,1,5,3477.7350098082625,3419.1562590177978,3564.990345831454,66.43285714285715,945.0,derived_legacy_l4_measurements,True
2040,prefill,2048,4,5,3434.915731824497,3420.0307824643473,3484.789564814402,65.62291666666665,910.625,derived_legacy_l4_measurements,True
2040,prefill,2048,8,5,3392.4729345670207,3358.3805236461394,3431.419621270014,64.81653061224489,906.25,derived_legacy_l4_measurements,True
2040,prefill,4096,1,5,3390.453375770132,3331.0690169406384,3399.4039470520725,65.29666666666667,934.6153846153846,derived_legacy_l4_measurements,False
2040,prefill,4096,4,5,3313.0414190553383,3277.9324961760603,3344.527439182571,64.16408163265305,918.3,derived_legacy_l4_measurements,False
2040,prefill,4096,8,5,3240.70761128398,3170.040926719017,3314.6231833757292,64.56870000000002,889.6039603960396,derived_legacy_l4_measurements,False
