day,interval_start_day,interval_end_day,leader_high_drag_fraction,follower_1_high_drag_fraction,follower_2_high_drag_fraction,plan_identity_sha256
100,100,101,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
101,101,102,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
102,102,103,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
103,103,104,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
104,104,105,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
105,105,106,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
106,106,107,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
107,107,108,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
108,108,109,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
109,109,110,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
110,110,111,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
111,111,112,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
112,112,113,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
113,113,114,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
114,114,115,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
115,115,116,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
116,116,117,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
117,117,118,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
118,118,119,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
119,119,120,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
120,120,121,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
121,121,122,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
122,122,123,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
123,123,124,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
124,124,125,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
125,125,126,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
126,126,127,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
127,127,128,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
128,128,129,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
129,129,130,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
130,130,131,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
131,131,132,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
132,132,133,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
133,133,134,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
134,134,135,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
135,135,136,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
136,136,137,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
137,137,138,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
138,138,139,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
139,139,140,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
140,140,141,0,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
141,141,142,5.9545025970805881e-08,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
142,142,143,5.9545025970805881e-08,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
143,143,144,5.9545025970805881e-08,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
144,144,145,5.9545025970805881e-08,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
145,145,146,5.9545025970805881e-08,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
146,146,147,5.9545025970805881e-08,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
147,147,148,5.9545025970805881e-08,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
148,148,149,5.9545025970805881e-08,0.16136089621530708,0,6cf023344145cd131b3aceabf0a51de5fb9907e46851e0aa99ae7edaf08343bb
