split,block_id,workload_phase,requested_power_limit_w,time_s,preceding_interval_mean_power_w,observed_temperature_c,observed_temperature_rise_c,power_only_predicted_temperature_c,power_only_predicted_temperature_rise_c,phase_gain_predicted_temperature_c,phase_gain_predicted_temperature_rise_c
validation,phase_validation_pulse_00,decode,55,15,54.993186654600137,59,5,59.676532104026649,5.6765321040266485,59.112477589400598,5.1124775894005978
validation,phase_validation_pulse_00,decode,55,16,53.498264648768483,59,5,59.970469194753228,5.9704691947532282,59.365833173863592,5.3658331738635923
validation,phase_validation_pulse_00,decode,55,17,54.343902781276483,59,5,60.27064691149176,6.2706469114917596,59.624939206082523,5.624939206082523
validation,phase_validation_pulse_00,decode,55,18,55.066435795475336,61,7,60.574832909843252,6.5748329098432521,59.887620561355476,5.887620561355476
validation,phase_validation_pulse_00,decode,55,19,55.920134539886824,60,6,60.885117945153013,6.8851179451530129,60.15589028984428,6.1558902898442796
validation,phase_validation_pulse_00,decode,55,20,54.931241503244266,60,6,61.170446472365228,7.1704464723652279,60.399717779221184,6.3997177792211843
validation,phase_validation_pulse_00,decode,55,21,55.411034181939911,61,7,61.456114697284448,7.4561146972844483,60.643667008645615,6.6436670086456147
validation,phase_validation_pulse_00,decode,55,22,55.512536593414076,61,7,61.735771449076253,7.7357714490762532,60.881604779248107,6.8816047792481072
validation,phase_validation_pulse_00,decode,55,23,55.017663885584156,61,7,61.999580869992961,7.9995808699929611,61.104056781231051,7.1040567812310513
validation,phase_validation_pulse_00,decode,55,24,55.809569295523815,61,7,62.269543551722215,8.2695435517222151,61.332358484046942,7.3323584840469422
validation,phase_validation_pulse_00,decode,55,25,54.874264280077227,61,7,62.516536842144667,8.5165368421446672,61.538340579986098,7.5383405799860981
validation,phase_validation_pulse_00,decode,55,26,54.246698483960344,62,8,62.746340141120058,8.7463401411200579,61.727689796686356,7.7276897966863558
validation,phase_validation_pulse_00,decode,55,27,54.01587917733341,62,8,62.966069000577711,8.9660690005777113,61.907356560813213,7.9073565608132128
validation,phase_validation_pulse_00,decode,55,28,54.904125630741071,62,8,63.194756460868895,9.194756460868895,62.095776793760479,8.0957767937604785
validation,phase_validation_pulse_00,decode,55,29,55.900088768265597,62,8,63.43396649589674,9.4339664958967404,62.294421093868117,8.2944210938681167
validation,phase_validation_pulse_00,decode,55,30,55.149944117047497,62,8,63.654141667974649,9.654141667974649,62.474676677570976,8.4746766775709759
validation,phase_validation_pulse_00,decode,55,31,55.064620434164055,64,10,63.866941583355647,9.8669415833556471,62.647892645574643,8.6478926455746432
validation,phase_validation_pulse_00,decode,55,32,55.74574294416842,62,8,64.085414771303306,10.085414771303306,62.826708536815353,8.8267085368153531
validation,phase_validation_pulse_00,decode,55,33,55.047096373066786,63,9,64.286276359292714,10.286276359292714,62.988592420488779,8.9885924204887786
validation,phase_validation_pulse_00,decode,55,34,55.614103983541256,63,9,64.491220434251176,10.491220434251176,63.154582886872497,9.1545828868724968
validation,phase_validation_pulse_00,decode,55,35,55.582804956159677,63,9,64.690106215942137,10.690106215942137,63.314856786125567,9.3148567861255671
