seed,update,environment_steps,elapsed_seconds,mean_step_reward,mean_episode_return,episodes_completed,minimum_tension,mean_command_speed,approximate_kl,clip_fraction,entropy,gradient_norm,loss,policy_loss,value_loss
3,34,69632,18.23952945903875,-0.005947572715484829,nan,0,272.48514515045383,0.45851663299879886,0.004816146496999197,0.054931640625,-2.066374369176468,1.1864455780455792,-0.0009291186341579445,-0.0035238157177714087,0.0010566454288739896
3,35,71680,18.311013084137812,-0.005772457864240545,nan,0,286.2991413127735,0.4194106604296691,0.0034800790154433394,0.0242919921875,-2.223201278163619,0.989008052424308,-0.0011195163377017113,-0.003669708534466779,0.0006539818372028905
3,36,73728,18.38183533400297,-0.006100797406823579,nan,0,299.9349333166042,0.4552671960770842,0.005651937787538315,0.075927734375,-2.214836393128793,1.2584302270020582,-0.00016253789747055917,-0.00287455508834121,0.000994361595483714
3,37,75776,18.45262954221107,-0.005771486367448437,nan,0,352.06878912894945,0.448002176734684,0.005365209390021362,0.0609130859375,-2.4064626819878434,1.2037737747859472,-0.0008568908253539554,-0.003755012199011494,0.0009833173833393894
3,38,77824,18.526778083993122,0.006034480795910549,-6.403789995757984,8,273.4036760055782,0.40934632938641713,0.0023339214733541914,0.0159912109375,-2.4738399784337535,0.9299369718432959,0.021695564407975133,-0.0006566135981771123,0.039756676055436986
3,39,79872,18.600382042117417,-0.005871998542756288,nan,0,345.6412063573576,0.41750920438540606,0.005883212867068503,0.07568359375,-2.4919958206801454,1.2594487034729662,-0.0033520297695389285,-0.0065836065232730435,0.0014791618661079294
3,40,81920,18.681520625017583,-0.00569392889187359,nan,0,338.3477145602585,0.4159775658210916,0.004827434529227123,0.0504150390625,-2.636838798458104,1.274341658476332,-0.0003072632299736485,-0.0034239907355378754,0.0009597774142122465
3,41,83968,18.75758641702123,-0.005940790175825326,nan,0,409.7033322004814,0.44313466394755047,0.005149130430293953,0.0648193359375,-2.641664234257749,1.3061586115658343,-0.001081917119366867,-0.004160911496310168,0.0008746602853711045
3,42,86016,18.850644667167217,-0.005967425253597475,nan,0,390.1260434392124,0.47164765641999357,0.00460944037012332,0.0521240234375,-2.771525271703083,1.1411640946945947,0.0009395969090754165,-0.0023081951978635423,0.0009525336704717455
3,43,88064,18.92307083401829,-0.005858553477493978,nan,0,384.97506183610386,0.43051448834983885,0.006548159919415523,0.089599609375,-2.8638307418103466,1.2902275412649842,-0.0021603320457631962,-0.005405108086539158,0.0007618905979312294
3,44,90112,18.995013792067766,0.006050979749438062,-6.362958466862285,8,351.9643827464309,0.44823827595027255,0.004873401266879488,0.052978515625,-2.9227648087410163,1.1876919202140137,0.022167454536035067,-0.0007513545309569686,0.03999208851650203
3,45,92160,19.06735641718842,-0.005872747630422424,nan,0,403.8111723883984,0.41716685127086295,0.005379322554449478,0.067138671875,-3.0508811236335256,1.3022367359438896,-0.002003764825301905,-0.005539022849330007,0.0009687538007891507
3,46,94208,19.137797417119145,-0.005683765675676347,nan,0,375.25325257597717,0.418869970632443,0.0019588504106768517,0.0052490234375,-3.0710945424770957,0.9868580958469211,0.0035929899976433707,0.00010891676771427987,0.0008259573749039907
3,47,96256,19.212808709125966,-0.005950406250494186,nan,0,423.62344159130294,0.4269888960599052,0.003954954882078743,0.0400390625,-3.1052935260438,1.2299386236215883,0.0017697411885223332,-0.0017470290535904955,0.000822953432138054
3,48,98304,19.288933084113523,-0.005754694807264612,nan,0,437.7281051521474,0.4160324993671156,0.004734060952060739,0.0557861328125,-3.206855855567637,1.144219401069439,-1.1383844149713898e-05,-0.003579486634545352,0.000722493869656003
3,49,100352,19.361296667018905,-0.005892974367047819,nan,0,421.75802962475046,0.41554227317970105,0.004413383265954343,0.042724609375,-3.250436075392652,1.0214833202250269,0.0017973038302689865,-0.0018072020634487648,0.0007081396366502016
3,50,102400,26.2876904590521,-0.0058379042434313026,-6.2897946187830875,8,414.52083549564134,0.445819224204437,0.002298222827503867,0.0096435546875,-3.3398283052383393,1.0504347867976676,0.0038129913355800893,8.207339740587362e-05,0.0007821792658717541
3,51,104448,26.382426667027175,0.0061361539224505605,nan,0,358.44725090000753,0.4190219696786869,0.002103229654154928,0.013916015625,-3.457505182289182,1.075447933939416,0.02287841218091088,3.316457074401978e-05,0.038775484855755354
3,52,106496,26.456350959138945,-0.005919462120257282,nan,0,434.5502727910604,0.41284173750560144,0.005694104325569842,0.071044921875,-3.4761189904769876,1.1589729451618553,-0.0010854943822095082,-0.004939800936523678,0.0007563751276743653
3,53,108544,26.52910150005482,-0.005750032361940072,nan,0,437.8238026297687,0.40204654752129976,0.005311359769170717,0.06103515625,-3.4261953898282136,1.0924359107182195,2.9623247193166866e-05,-0.0037179432042178566,0.0006427421231656224
3,54,110592,26.606922417180613,-0.0058199953362558735,nan,0,433.3682515354614,0.4032043250323234,0.004612900852985654,0.0535888671875,-3.499964959346726,1.3224690584773038,0.0009067366649202673,-0.0028929063021018676,0.0005993560153508177
3,55,112640,26.687047166982666,-0.0058654569727304585,nan,0,439.1487660261711,0.43022465692267875,0.0037427423446724285,0.0269775390625,-3.473503118709197,1.3078789290725732,0.003607804464725381,-0.00019927948283079457,0.0006671616576939554
3,56,114688,26.762429875088856,-0.005816836019794994,nan,0,438.0113306809022,0.43280978938716796,0.0026822665071388773,0.0238037109375,-3.497555421016095,1.1895381303115484,0.0030610876876245143,-0.0008249587939871943,0.0007769821211912299
3,57,116736,26.840255834162235,0.006006951308660448,-6.291048728791621,8,380.757794994325,0.40715327419833025,0.0033894255838945583,0.0289306640625,-3.5243320042027886,1.1201050728653947,0.019917333654226748,-0.0025456703707006038,0.03787734404144913
3,58,118784,26.914299583993852,-0.0057933290876005,nan,0,440.40172747349453,0.4123028802247214,0.004578864066683486,0.0479736328125,-3.7226265811452333,1.1246464669983198,0.0014793634479790957,-0.0028112061142407663,0.0011358859621492601
3,59,120832,26.98868454201147,-0.0058250608230115105,nan,0,444.44270427245954,0.42260761316153483,0.00542287220800915,0.0655517578125,-3.654532907369411,1.2449189181072173,-0.0002856583062953123,-0.004291424299036162,0.0007024661707428792
3,60,122880,27.062905125087127,-0.00597218329453772,nan,0,438.5560670865008,0.43593732878480373,0.0021109259753712287,0.01025390625,-3.7669674750899347,1.2688406550657634,0.004326563158761693,0.00018973372310512014,0.0007397239211332785
3,61,124928,27.136591125046834,-0.005715401810650061,nan,0,443.1293043586403,0.4140713689699884,0.004393969960037129,0.04443359375,-3.667009956852063,1.1485256470687737,0.0019363094192651176,-0.00202346773633625,0.000585534397498605
3,62,126976,27.213129084091634,-0.005754086345315492,nan,0,447.4211794053311,0.39176595518879964,0.003074952760799436,0.0296630859375,-3.7299807869171504,1.3169554477625627,0.0020892413039689597,-0.001877018131693801,0.00047255729749122574
3,63,129024,27.303821792127565,0.005986984514025532,-6.275927686740714,8,364.84379339336465,0.4435473439570256,0.0059859004883116695,0.0745849609375,-3.7306577524949023,1.2075607337644416,0.01941061193309232,-0.0024880864819671195,0.03633608132512907
3,64,131072,27.38816941715777,-0.0058831321891566705,nan,0,433.66877317233616,0.4237020696133525,0.003996445699272504,0.043701171875,-3.7357586115244183,1.318021724155701,0.0021345774760108942,-0.002009415174690096,0.0008164680783531487
3,65,133120,27.481898750178516,-0.005780787321116068,nan,0,452.41594592067685,0.422433456554409,0.0035445043315973576,0.0341796875,-3.818199338735984,1.2012254580152002,0.0028284715624878757,-0.0013512889171945989,0.0007231222818929783
3,66,135168,27.559742250014096,-0.005991701302827972,nan,0,441.39573930961126,0.4403484154688147,0.006840489827476358,0.0916748046875,-3.871788016603858,1.295411596004231,-0.0006232181092454625,-0.004940618528037243,0.0008912248043758441
3,67,137216,27.636242917040363,-0.005780551764289701,nan,0,443.5958457816929,0.4148479583125615,0.00334993605349746,0.0263671875,-3.805997784424591,1.1081889426650005,0.0032903777966153095,-0.0008221455044965433,0.0006130510333745253
3,68,139264,27.712985792197287,-0.005825026467718064,nan,0,435.3964560750532,0.42787331030779296,0.0025376157272187128,0.018798828125,-3.8408559309291994,1.1534534359132753,0.003993704476811212,-0.00015397790534185836,0.0006136529024477418
3,69,141312,27.788333208998665,0.0060718555425776435,-6.309266306183501,8,381.86028643509263,0.41209240304050787,0.004486416049002946,0.04736328125,-3.7822803559637306,1.1898579567006229,0.02088402579201868,-0.001190043476509495,0.0365835778251289
3,70,143360,27.86184012517333,-0.005597825913575094,nan,0,447.4459943893365,0.3853586578751795,0.0008173985465946296,0.0032958984375,-3.8598125058030988,1.1306306734379392,0.004355348283806426,0.0002116416616944148,0.0005677882326178308
3,71,145408,27.943114000139758,-0.005941862390571812,nan,0,448.8065588978583,0.4289749911164634,0.0039526133349530885,0.0306396484375,-3.8824674327103548,1.2403289078396802,0.0023730796275171443,-0.001799643514103993,0.0005805114178215596
3,72,147456,28.030056375078857,-0.00581304166847566,nan,0,440.3272972663719,0.3964406214307017,0.003003440505384376,0.02978515625,-3.90337275764686,1.1676944469258062,0.0031192169531847882,-0.001016763804474676,0.00046521600002521487
3,73,149504,28.1043195000384,-0.005845389597470729,nan,0,439.34286308978284,0.4164556911629561,0.0019276234783974825,0.0037841796875,-3.922237477328509,1.157014671620741,0.004391953210349443,0.00025277061235081245,0.0004338902413402435
3,74,151552,28.17637116718106,-0.005895553045552032,nan,0,447.52199530159965,0.4198716719111911,0.002678591635772035,0.0191650390625,-3.986532197888905,1.429346009639336,0.003653128979707284,-0.0005821920206140856,0.0004975776048649313
3,75,153600,35.447543875081465,-0.005708822360069445,-6.235717062016134,8,442.8670695666576,0.39623886750197895,0.006654801712642447,0.087158203125,-3.9334097774184196,1.2483223695193075,9.843477328342633e-05,-0.004089116173157787,0.0005082823380455874
3,76,155648,35.542562416987494,0.006106941548739064,nan,0,370.1462226584564,0.3959569134440315,0.004270277133435943,0.0394287109375,-4.040575032919501,1.1920941476967952,0.019343319420633616,-0.0016932043934911227,0.03399189756241048
3,77,157696,35.616934000048786,-0.005804140726802843,nan,0,439.55241398906065,0.40255092468207954,0.005704156139477628,0.0704345703125,-4.065308489812226,1.3192277557080772,0.0002326590892508416,-0.004265187300101489,0.0008650757990802092
3,78,159744,35.69515195908025,-0.005663134723234672,nan,0,451.59083041411117,0.3864544209386124,0.004936406512122636,0.0556640625,-4.095649206507149,1.445051209018135,0.0013366855759283005,-0.002993735512465486,0.0004695437637732705
3,79,161792,35.77539200009778,-0.005740753777667421,nan,0,444.4691651585634,0.4140881019281204,0.00045846443710405576,0.0,-4.130557174802871,1.3939863350150699,0.004883300970850957,0.0004041099708539291,0.0006972676503883098
3,80,163840,35.86202779202722,-0.0060022395505008935,nan,0,446.23249442263125,0.4309293202289187,0.0022841742335295246,0.0162353515625,-4.105808410588999,1.193240355692244,0.004165325077823806,-0.00020069815546054377,0.0005204296453907019
3,81,165888,35.95988504216075,-0.005817786583493568,nan,0,446.3801187618208,0.4142420282499669,0.004803657836086527,0.061767578125,-4.111131613692632,1.3204378055694566,0.0028036220030124774,-0.0016164000314271036,0.0006177808414938944
3,82,167936,36.06346133421175,0.006184394485032113,-6.222897559375975,8,372.7623466045174,0.4117660163931548,0.004042213525179927,0.0352783203125,-4.088292460733761,1.176947264962075,0.01913525626373308,-0.0009528208606072674,0.03199956932721317
3,83,169984,36.14462987519801,-0.0058294931652039614,nan,0,441.71742368451,0.41211507615288917,0.0032444006664205565,0.0238037109375,-4.1882612524791085,1.302607886109072,0.003633899787994664,-0.0009337984336863754,0.000758873938403864
3,84,172032,36.22660604212433,-0.0057808634022848936,nan,0,451.375772608192,0.42594924872808326,0.004280674211781056,0.0439453125,-4.13242924999595,1.1196397776543074,0.0014935701748506162,-0.0028879600421710073,0.0004982019340513447
3,85,174080,36.3076080000028,-0.0059140364617714875,nan,0,446.3775047486919,0.4054509242179384,0.005483726193460212,0.067626953125,-4.171043596367113,1.3481051325852649,0.0021915007681726703,-0.002249408024168894,0.0005397303919489047
3,86,176128,36.38838695921004,-0.005749834518621981,nan,0,441.43716302187886,0.40223689888239406,0.0034863751799358153,0.0390625,-4.190505356678345,1.3093619004243515,0.0027247557680715262,-0.0017134164699610364,0.000495333762708436
3,87,178176,36.46471083420329,-0.005745896752794134,nan,0,444.4787104548417,0.41531012929645916,0.004350995109219422,0.0450439453125,-4.254141564660431,1.1782899952364314,0.004593300627447684,0.00010162201036977795,0.0004750741048349483
3,88,180224,36.545927667059004,0.00611819625480482,-6.243648589654482,8,367.16225146990945,0.42256342175058415,0.0053745901591584965,0.064697265625,-4.197168388030994,1.2481579388816197,0.018127481571411606,-0.0010721546574464168,0.030004935681654056
3,89,182272,36.62516033416614,-0.005770378136089963,nan,0,450.50092898465977,0.39811445535841505,0.0036659961823089617,0.031005859375,-4.310646895980897,1.2916704362102642,0.0032015801241912552,-0.0013646951708493772,0.0005112567981194709
3,90,184320,36.70261379214935,-0.00589430337038252,nan,0,446.06793630909624,0.41096296955817446,0.0045001086551121425,0.0546875,-4.277982792078012,1.3675703897384357,0.002767701049728119,-0.0018083204360699002,0.0005960773874400113
