split,sequence,block_id,workload_phase,prompt_tokens,output_tokens,concurrency,requested_power_limit_w,requested_clock_mhz,batch_index,request_index,prompt_tokens_observed,completion_tokens,ttft_s,tpot_s,total_s,start_elapsed_s,end_elapsed_s
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,12,6,128,32,0.18045451999989837,0.12296137241935778,3.99225706499999,568.319163665,572.31142073
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,12,7,128,32,0.9553754650000883,0.10129818477419268,4.095619193000061,568.3175462549999,572.413165448
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,13,0,128,32,0.9578332529999898,0.1013985537096775,4.1011884179999925,572.4171508339999,576.5183392519999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,13,1,128,32,0.9591907789999823,0.10137436309677499,4.101796035000007,572.416331226,576.518127261
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,13,2,128,32,0.9567370879999544,0.10138658209677576,4.099721133000003,572.418132064,576.517853197
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,13,3,128,32,0.18437873300001684,0.1230619906774197,3.9993004440000277,572.416577334,576.415877778
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,13,4,128,32,0.9573759779999591,0.10139312980645114,4.100563001999944,572.417371161,576.517934163
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,13,5,128,32,0.9578407000000198,0.10136436951612753,4.100136154999973,572.417592789,576.5177289439999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,13,6,128,32,0.9583214649999263,0.10138877722580776,4.101373558999967,572.416830625,576.518204184
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,13,7,128,32,0.9593364479999309,0.10138458290322755,4.102258517999985,572.416023546,576.518282064
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,14,0,128,32,0.1870040720000361,0.12311659764515988,4.003618598999992,576.5204007809999,580.5240193799999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,14,1,128,32,0.9592465739999625,0.10143634029032367,4.103773122999996,576.522181996,580.625955119
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,14,2,128,32,0.961121339999977,0.1014166448387091,4.105037329999959,576.520664604,580.625701934
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,14,3,128,32,0.9597328529999913,0.10144154229032386,4.104420664000031,576.5217775799999,580.626198244
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,14,4,128,32,0.9602775270000166,0.10145706051612764,4.1054464029999735,576.520960167,580.62640657
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,14,5,128,32,0.9592587109999613,0.10141719680645213,4.103191811999977,576.522435623,580.625627435
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,14,6,128,32,0.9601465460000327,0.10144914167741967,4.105069938000042,576.521445152,580.62651509
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,14,7,128,32,0.9612182439999515,0.10140724745161284,4.104842914999949,576.520128162,580.6249710769999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,15,0,128,32,0.17084398800000145,0.12348987916129038,3.9990302420000035,580.629057378,584.62808762
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,15,1,128,32,0.9537816729999804,0.10150252429031988,4.100359925999896,580.628798876,584.7291588019999
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,15,2,128,32,0.9523691179999787,0.10152976283870885,4.099791765999953,580.630127301,584.729919067
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,15,3,128,32,0.9531153130000121,0.1015431635483882,4.100953383000046,580.629579555,584.730532938
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,15,4,128,32,0.9513061469999684,0.10155332203225953,4.099459130000014,580.631015168,584.730474298
training,training_a,training_a_pulse_00,decode,128,32,8,40.0,2040,15,5,128,32,0.9526032979999854,0.10155502870967696,4.100809187999971,580.629814806,584.730623994
