split,sequence,block_id,workload_phase,prompt_tokens,output_tokens,concurrency,requested_power_limit_w,requested_clock_mhz,batch_index,request_index,prompt_tokens_observed,completion_tokens,ttft_s,tpot_s,total_s,start_elapsed_s,end_elapsed_s
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,10,2,128,32,0.725618637000025,0.10045826274193631,3.8398247820000506,565.940534172,569.780358954
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,10,3,128,32,0.7252613690000089,0.10042407770967818,3.8384077780000325,565.940796258,569.779204036
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,10,4,128,32,0.7252627210000355,0.10045495593548397,3.8393663550000383,565.941078892,569.780445247
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,10,5,128,32,0.724934802000007,0.10044381399999962,3.838693035999995,565.941331491,569.780024527
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,10,6,128,32,0.7243882579999763,0.10047847241935415,3.839220902999955,565.941576218,569.780797121
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,10,7,128,32,0.16684359200007748,0.11522139183870744,3.7387067390000084,565.9399954739999,569.678702213
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,11,0,128,32,0.7231413079999811,0.10043884429032254,3.83674548099998,569.783519916,573.620265397
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,11,1,128,32,0.7243554460000041,0.10046193532257935,3.838675440999964,569.782745355,573.6214207959999
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,11,2,128,32,0.7232379419999688,0.10045191112903334,3.8372471870000027,569.78402022,573.621267407
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,11,3,128,32,0.7229855290000842,0.10045181738709538,3.836991868000041,569.784374043,573.621365911
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,11,4,128,32,0.7244434610000781,0.10045414622580635,3.838521994000075,569.7829958789999,573.621517873
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,11,5,128,32,0.723000336000041,0.100465335870966,3.837425747999987,569.783760702,573.62118645
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,11,6,128,32,0.1624526869999272,0.1153062404838722,3.736946141999965,569.783248508,573.52019465
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,11,7,128,32,0.7245025010000745,0.10047536967741992,3.839238961000092,569.782465069,573.62170403
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,12,0,128,32,0.7318952709999849,0.10040160574193681,3.844345049000026,573.624061141,577.46840619
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,12,1,128,32,0.7314026930000637,0.10042452938709572,3.8445631040000308,573.624304126,577.46886723
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,12,2,128,32,0.7304255279999552,0.10041008409677576,3.843138135000004,573.625061684,577.468199819
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,12,3,128,32,0.7305131759999313,0.10041526090322629,3.843386263999946,573.62535101,577.468737274
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,12,4,128,32,0.16593247799994515,0.11537308474193665,3.7424981049999815,573.624742533,577.367240638
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,12,5,128,32,0.7316100709999773,0.10040300754838706,3.844103304999976,573.624524926,577.468628231
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,12,6,128,32,0.7304350900000145,0.1004077600645169,3.8430756520000386,573.625604147,577.468679799
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,12,7,128,32,0.7315768509999998,0.10039122490322384,3.843704822999939,573.623773128,577.467477951
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,13,0,128,32,0.16528234800000519,0.11571746235483715,3.752523680999957,577.471580904,581.224104585
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,13,1,128,32,0.7419994599999882,0.10036128251612897,3.853199217999986,577.471839761,581.3250389789999
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,13,2,128,32,0.7406072539999968,0.10037617419354847,3.8522686539999995,577.473020369,581.325289023
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,13,3,128,32,0.7414672589999327,0.1003754437096793,3.853106013999991,577.472256385,581.325362399
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,13,4,128,32,0.741523022000024,0.10035237077419233,3.8524465159999863,577.472508844,581.32495536
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,13,5,128,32,0.7412130889999844,0.10034686135483914,3.851965790999998,577.47204555,581.324011341
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,13,6,128,32,0.7407678100000794,0.10038561316129026,3.8527218180000773,577.472757122,581.32547894
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,13,7,128,32,0.742074515000013,0.10038873251612805,3.8541252229999827,577.471308671,581.325433894
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,14,0,128,32,0.7526240580000376,0.10024548109677126,3.8602339719999463,581.328837066,585.189071038
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,14,1,128,32,0.7537442799999781,0.10021361309677265,3.8603662859999304,581.327408749,585.187775035
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,14,2,128,32,0.7539210710000361,0.10020924183870941,3.860407568000028,581.327659091,585.188066659
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,14,3,128,32,0.751755481000032,0.10023693906451524,3.8591005920000043,581.329616817,585.188717409
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,14,4,128,32,0.7533587249999982,0.10023889400000122,3.860764439000036,581.328175665,585.188940104
