phase,prompt_tokens,output_tokens,concurrency,requested_clock_mhz,realized_clock_mhz,repeat,ttft_s,tpot_s,total_s,energy_j,mean_power_w,peak_power_w,peak_temp_c,telemetry_sample_count,telemetry_fallback_used,request_index,completion_tokens,prompt_tokens_observed
prefill,2048,1,8,210,210.0,0,19.65443689999995,0.0,19.654570390999993,84.37727278405004,34.338274111675126,35.43,65.0,197,False,4,1,2048
prefill,2048,1,8,210,210.0,0,9.839823446999958,0.0,9.839955791999955,84.37727278405004,34.338274111675126,35.43,65.0,197,False,5,1,2048
prefill,2048,1,8,210,210.0,0,2.4767212600000903,0.0,2.4768954910000502,84.37727278405004,34.338274111675126,35.43,65.0,197,False,6,1,2048
prefill,2048,1,8,210,210.0,0,14.749601848999987,0.0,14.749748888999989,84.37727278405004,34.338274111675126,35.43,65.0,197,False,7,1,2048
prefill,2048,1,8,210,210.0,1,12.292859410000005,0.0,12.293014798999934,84.76948341613152,34.50188775510205,35.32,66.0,196,False,0,1,2048
prefill,2048,1,8,210,210.0,1,9.837220202000026,0.0,9.837375185000042,84.76948341613152,34.50188775510205,35.32,66.0,196,False,1,1,2048
prefill,2048,1,8,210,210.0,1,7.383635689000016,0.0,7.3837709700000005,84.76948341613152,34.50188775510205,35.32,66.0,196,False,2,1,2048
prefill,2048,1,8,210,210.0,1,4.929774006999992,0.0,4.929914980000035,84.76948341613152,34.50188775510205,35.32,66.0,196,False,3,1,2048
prefill,2048,1,8,210,210.0,1,14.745329588000004,0.0,14.745472475000042,84.76948341613152,34.50188775510205,35.32,66.0,196,False,4,1,2048
prefill,2048,1,8,210,210.0,1,17.198879654000052,0.0,17.199038048000034,84.76948341613152,34.50188775510205,35.32,66.0,196,False,5,1,2048
prefill,2048,1,8,210,210.0,1,19.652028461999976,0.0,19.652174788000025,84.76948341613152,34.50188775510205,35.32,66.0,196,False,6,1,2048
prefill,2048,1,8,210,210.0,1,2.476898740000024,0.0,2.4770401170000014,84.76948341613152,34.50188775510205,35.32,66.0,196,False,7,1,2048
prefill,2048,1,8,210,210.0,2,4.9317937360000315,0.0,4.931930983000029,84.75185473438766,34.49142857142855,34.97,66.0,196,False,0,1,2048
