split,sequence,block_id,workload_phase,prompt_tokens,output_tokens,concurrency,requested_power_limit_w,requested_clock_mhz,batch_index,request_index,prompt_tokens_observed,completion_tokens,ttft_s,tpot_s,total_s,start_elapsed_s,end_elapsed_s
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,1,4,128,128,0.9082916359999444,0.10157738605511794,13.808619664999924,925.182432637,938.991052302
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,1,5,128,128,0.9082576149999113,0.1015859722204728,13.809676086999957,925.1818222750001,938.991498362
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,1,6,128,128,0.9087947289999647,0.10158456544094474,13.810034539999947,925.18152319,938.99155773
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,1,7,128,128,0.90947714299989,0.1015821440787405,13.810409440999933,925.1807367810001,938.991146222
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,2,0,128,128,0.9216524759999629,0.1016275866614181,13.828355982000062,938.993531298,952.82188728
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,2,1,128,128,0.1792031869999846,0.10666930733858286,13.726205219000008,938.993762121,952.71996734
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,2,2,128,128,0.9196772899999814,0.10162951899212568,13.826626201999943,938.995102096,952.8217282979999
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,2,3,128,128,0.9186419959999057,0.10162945659842589,13.825582983999993,938.996222252,952.821805236
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,2,4,128,128,0.9204728759999625,0.10163192086614205,13.827726826000003,938.994640857,952.822367683
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,2,5,128,128,0.9206754409999576,0.10163291575590543,13.828055741999947,938.994366644,952.822422386
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,2,6,128,128,0.9204658490000384,0.10162678394488191,13.82706741000004,938.994034704,952.821102114
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,2,7,128,128,0.9214009340000757,0.10163647753543278,13.82923358100004,938.993246852,952.822480433
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,3,0,128,128,0.18258273800006464,0.10667033699999907,13.729715536999947,952.824859432,966.554574969
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,3,1,128,128,0.9243504490000305,0.10162663110236281,13.830932599000107,952.8258179649999,966.656750564
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,3,2,128,128,0.9238836089998586,0.10162128742519677,13.829787111999849,952.8263549220001,966.6561420339999
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,3,3,128,128,0.9245275929999934,0.10162900346456694,13.831411032999995,952.825162827,966.65657386
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,3,4,128,128,0.9243018150000353,0.10162736632283367,13.830977337999911,952.825516887,966.656494225
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,3,5,128,128,0.9232617000000118,0.10162931758267633,13.830185032999907,952.8266429810001,966.656828014
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,3,6,128,128,0.9239190299999791,0.10161888399999959,13.829517297999928,952.826066049,966.655583347
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,3,7,128,128,0.9249810889998571,0.10162747492913372,13.83167040499984,952.8245508140001,966.6562212189999
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,4,0,128,128,0.938362780000034,0.10159553676377918,13.84099594899999,966.6587363900001,980.499732339
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,4,1,128,128,0.9378991480000423,0.10159800222047168,13.840845429999945,966.6590369200001,980.49988235
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,4,2,128,128,0.18374892499991802,0.10672104245669274,13.737321316999896,966.6604346890001,980.397756006
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,4,3,128,128,0.9370802849998654,0.10160195125984244,13.840528094999854,966.6594392070001,980.499967302
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,4,4,128,128,0.9365621290000945,0.10160135693700888,13.839934460000222,966.6601104639999,980.5000449240001
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,4,5,128,128,0.9362862100001621,0.10159427851180956,13.838759580999977,966.66089855,980.4996581309999
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,4,6,128,128,0.9369941029999609,0.10159135860630066,13.839096646000144,966.659789976,980.4988866220001
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,4,7,128,128,0.9385663759999261,0.10158715160629953,13.840134629999966,966.6584652070001,980.498599837
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,5,0,128,128,0.940329636000115,0.10161813263779529,13.845832481000116,980.503833969,994.3496664500001
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,5,1,128,128,0.9408667610000521,0.1016285239055113,13.847689296999988,980.502199454,994.349888751
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,5,2,128,128,0.9391357580000204,0.10162039309448763,13.84492568099995,980.504442957,994.349368638
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,5,3,128,128,0.9400587410000298,0.10162871821259836,13.846905954000022,980.503119854,994.350025808
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,5,4,128,128,0.17666442400013693,0.10683047124409428,13.74413427200011,980.50247739,994.2466116620001
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,5,5,128,128,0.9414292320000186,0.10161991881102225,13.847158920999846,980.502786792,994.3499457129999
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,5,6,128,128,0.9398878260001311,0.10162552998425115,13.846330134000027,980.5034065479999,994.349736682
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,5,7,128,128,0.9414992170000005,0.10162069202362194,13.847327103999987,980.501909076,994.3492361799999
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,6,0,128,128,0.9499200960001417,0.10156293184251994,13.848412440000175,994.3519696569999,1008.2003820970001
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,6,1,128,128,0.17674301700003525,0.10683228088976283,13.744442689999914,994.352767327,1008.097210017
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,6,2,128,128,0.9492078109999511,0.10155963394488284,13.847281322000072,994.352521772,1008.1998030940001
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,6,3,128,128,0.9482199669998863,0.10156149403937029,13.846529709999913,994.352976655,1008.1995063649999
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,6,4,128,128,0.9492786089999754,0.10156085600787386,13.847507321999956,994.3522417670001,1008.1997490890001
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,6,5,128,128,0.9483087030000661,0.10156425941732333,13.84696964900013,994.353509972,1008.2004796210001
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,6,6,128,128,0.9481569009999475,0.10155814079527636,13.846040782000046,994.3532263980001,1008.1992671800001
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,6,7,128,128,0.9502745810000306,0.10156191622047124,13.848637940999879,994.351680876,1008.2003188169999
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,7,0,128,128,0.9592689189998964,0.10153676960629944,13.854438658999925,1008.203221471,1022.0576601299999
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,7,1,128,128,0.17392720300017572,0.10692426719684969,13.753309137000088,1008.2024359029999,1021.95574504
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,7,2,128,128,0.9601616560000821,0.10153614595275588,13.85525219200008,1008.202704759,1022.057956951
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,7,3,128,128,0.9598510850000821,0.10153608423621965,13.854933782999979,1008.20295498,1022.0578887629999
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,7,4,128,128,0.9568741160001082,0.10154061485826694,13.85253220300001,1008.205220415,1022.057752618
training,training_a,training_a_plateau_00,decode,128,128,8,40.0,2040,7,5,128,128,0.9587049749998187,0.10153218768503959,13.853292810999847,1008.2035212180001,1022.056814029
