time_seconds,angle_radians,angle_degrees,normalized_energy,axial_force_newtons,target_action_squat,target_action_lean,realized_command_squat,realized_command_lean,seat_radius_fraction,taut,cumulative_slack_time_seconds,cumulative_snap_energy_loss_joules
1.885999999999968679e+01,7.797353221975806825e-01,4.467554309919479039e+01,4.516179209150605889e-01,7.877649520009562139e+02,-8.153020739555358887e-01,-1.121866032481193542e-01,-7.249430915524642804e-01,1.719645415240506903e-01,1.000000000000000222e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.887999999999968637e+01,8.269143804664356168e-01,4.737870401940196530e+01,4.520771558983688321e-01,7.371821956795658934e+02,-7.646431922912597656e-01,-1.531992107629776001e-01,-7.257321054801181281e-01,1.460860963865424633e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.889999999999968594e+01,8.723735057905943613e-01,4.998332004083253821e+01,4.522476225314713827e-01,6.854484666175095526e+02,-7.077980637550354004e-01,-1.946106553077697754e-01,-7.255307277457182513e-01,1.199073886181591525e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.891999999999968551e+01,9.159932554732868049e-01,5.248254760106792816e+01,4.521679914930495370e-01,6.332010646429761209e+02,-6.448984146118164062e-01,-2.363458722829818726e-01,-7.243266477766056033e-01,9.343112773397534154e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.893999999999968509e+01,9.576658515918494707e-01,5.487021148001482374e+01,4.518792538414874160e-01,5.810971608341035335e+02,-5.761762261390686035e-01,-2.783035039901733398e-01,-7.221104572872040217e-01,6.666270332529437848e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.895999999999968466e+01,9.972960982932135288e-01,5.714085735706523650e+01,4.514234341348771773e-01,5.297998488077492993e+02,-5.019813179969787598e-01,-3.203553259372711182e-01,-7.188766979011027569e-01,3.961178527694044632e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.897999999999968423e+01,1.034802143795342300e+00,5.928979547056284360e+01,4.508421893817722292e-01,4.799623974778326101e+02,-4.227946698665618896e-01,-3.623473346233367920e-01,-7.146251520557647119e-01,1.229386040036600097e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.899999999999968381e+01,1.070116056083352252e+00,6.131313360276098479e+01,4.501753328450113223e-01,4.322110717064402934e+02,-3.392360508441925049e-01,-4.041014313697814941e-01,-7.093623137143827417e-01,-1.526835637783390855e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.901999999999968338e+01,1.103184176103993774e+00,6.320779731637581023e+01,4.494593548692003560e-01,3.871262360511100269e+02,-2.520630359649658203e-01,-4.454195797443389893e-01,-7.031029487397754130e-01,-4.304371035629762920e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.903999999999968296e+01,1.133967210347980537e+00,6.497153525916293404e+01,4.487260384427491644e-01,3.452228482826503182e+02,-1.621604114770889282e-01,-4.860889315605163574e-01,-6.958716289704107716e-01,-7.099167646638054885e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.905999999999968253e+01,1.162440028483110677e+00,6.660290756914945121e+01,4.480012903927148016e-01,3.069316304290572361e+02,-7.051943242549896240e-02,-5.258886814117431641e-01,-6.877041062203531618e-01,-9.906178676796469074e-02,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.907999999999968210e+01,1.188591139831013610e+00,6.810125587896095567e+01,4.473043193598470468e-01,2.725813977839084146e+02,2.179475687444210052e-02,-5.645986199378967285e-01,-6.786483782564137757e-01,-1.271934952886291659e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
