scenario,seed,controller,attempted_rentals,served_rentals,attempted_returns,accepted_returns,lost_rentals,rejected_returns,service_failures,bikes_moved,truck_distance_km,unrealized_transfer_bikes,terminal_imbalance,terminal_truck_inventory,objective
nominal,30,open_loop,67,67,70,70,0,0,0,6,0.8533739059724342,0,20.5,0,2.5206747811944874
nominal,30,feedback,67,67,70,70,0,0,0,18,2.5601217179173026,0,9.5,0,2.3620243435834607
nominal,31,none,74,68,66,59,6,7,13,0,0.0,0,39.5,0,16.95
nominal,31,open_loop,74,71,66,62,3,4,7,6,0.8533739059724342,0,39.5,0,11.420674781194487
nominal,31,feedback,74,74,66,66,0,0,0,42,8.953365535196733,0,12.5,2,5.140673107039347
nominal,32,none,52,52,65,64,0,1,1,0,0.0,0,27.5,0,3.75
nominal,32,open_loop,52,52,65,65,0,0,0,6,0.8533739059724342,0,22.5,0,2.7206747811944867
nominal,32,feedback,52,52,65,65,0,0,0,16,2.5601217179173026,0,19.5,0,3.2620243435834606
nominal,33,none,48,48,84,82,0,2,2,0,0.0,0,40.5,0,6.05
nominal,33,open_loop,48,48,84,82,0,2,2,6,0.8533739059724342,0,40.5,0,6.5206747811944865
nominal,33,feedback,48,48,84,84,0,0,0,8,2.3986877133483513,0,42.5,0,5.1297375426696705
nominal,34,none,58,58,85,65,0,20,20,0,0.0,0,36.5,0,23.65
nominal,34,open_loop,58,58,85,68,0,17,17,6,0.8533739059724342,0,33.5,0,20.82067478119449
nominal,34,feedback,58,58,85,77,0,8,8,24,3.413495623889737,0,25.5,0,12.432699124777947
nominal,35,none,59,59,72,67,0,5,5,0,0.0,0,27.5,0,7.75
nominal,35,open_loop,59,59,72,70,0,2,2,6,0.8533739059724342,0,24.5,0,4.920674781194487
nominal,35,feedback,59,59,72,72,0,0,0,20,5.701303915875948,0,19.5,0,4.090260783175189
nominal,36,none,57,57,87,66,0,21,21,0,0.0,0,22.5,0,23.25
nominal,36,open_loop,57,57,87,69,0,18,18,6,0.8533739059724342,0,19.5,0,20.42067478119449
nominal,36,feedback,57,57,87,74,0,13,13,22,3.3882183322863315,0,23.5,0,17.127643666457267
nominal,37,none,52,52,79,64,0,15,15,0,0.0,0,41.5,0,19.15
nominal,37,open_loop,52,52,79,67,0,12,12,6,0.8533739059724342,0,38.5,0,16.320674781194487
nominal,37,feedback,52,52,79,75,0,4,4,22,4.266869529862171,0,30.5,0,9.003373905972435
nominal,38,none,50,50,89,68,0,21,21,0,0.0,0,41.5,0,25.15
nominal,38,open_loop,50,50,89,71,0,18,18,6,0.8533739059724342,0,38.5,0,22.32067478119449
