split,sequence,block_id,workload_phase,prompt_tokens,output_tokens,concurrency,requested_power_limit_w,requested_clock_mhz,batch_index,request_index,prompt_tokens_observed,completion_tokens,ttft_s,tpot_s,total_s,start_elapsed_s,end_elapsed_s
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,14,2,128,32,0.6898183130000461,0.10109267403225702,3.823691208000014,593.135214216,596.958905424
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,14,3,128,32,0.6894787719999158,0.10111265506451848,3.823971078999989,593.136062785,596.960033864
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,14,4,128,32,0.6889209260000371,0.10108614303225838,3.8225913600000467,593.136544235,596.959135595
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,14,5,128,32,0.6883632459999944,0.10113127477419429,3.8234327640000174,593.136895049,596.960327813
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,14,6,128,32,0.6902371180000273,0.1011116229354838,3.8246974290000253,593.135486831,596.96018426
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,14,7,128,32,0.6909743559999697,0.10111212203225713,3.8254501389999405,593.134647221,596.96009736
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,15,0,128,32,0.6926768909999055,0.10101231606451634,3.824058688999912,596.9622590930001,600.786317782
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,15,1,128,32,0.6916263389999813,0.10102297112903288,3.823338444000001,596.963066922,600.786405366
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,15,2,128,32,0.15219508400002724,0.11515491638709635,3.721997492000014,596.962775398,600.68477289
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,15,3,128,32,0.6926226479999968,0.10101623629032386,3.8241259730000365,596.962504566,600.786630539
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,15,4,128,32,0.6909028640000088,0.10099689219354728,3.8218065219999744,596.963352112,600.785158634
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,15,5,128,32,0.6913807829999996,0.10100319274193871,3.8224797580000995,596.963654393,600.786134151
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,15,6,128,32,0.6906052200000659,0.10102082593548475,3.8222508240000934,596.963971575,600.786222399
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,15,7,128,32,0.6928103779999901,0.10099321164515855,3.823599938999905,596.961995597,600.785595536
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,16,0,128,32,0.16143848700005492,0.11516974096773978,3.731700456999988,600.78861996,604.520320417
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,16,1,128,32,0.6984414930000185,0.10111842083870949,3.8331125390000125,600.789270115,604.622382654
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,16,2,128,32,0.6989119929999106,0.1011133760967757,3.8334266519999574,600.7888868370001,604.622313489
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,16,3,128,32,0.6968231639999658,0.10112998138709652,3.8318525869999576,600.790773069,604.622625656
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,16,4,128,32,0.6977270689999386,0.10111429635484118,3.8322702560000153,600.790235173,604.6225054290001
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,16,5,128,32,0.6973115179999922,0.10109586025806318,3.8312831859999505,600.789982441,604.621265627
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,16,6,128,32,0.6982848610000474,0.10111865303225943,3.83296310500009,600.78960331,604.622566415
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,16,7,128,32,0.6996978659999513,0.1010817085483862,3.8332308309999235,600.788328392,604.621559223
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,17,0,128,32,0.7038795900000423,0.10114102154838542,3.8392512579999902,604.624579005,608.463830263
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,17,1,128,32,0.7037495499999977,0.10113457854838763,3.8389214850000144,604.624827804,608.463749289
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,17,2,128,32,0.7032799239999576,0.10112617206451917,3.8381912580000517,604.625726214,608.463917472
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,17,3,128,32,0.7020528299999569,0.10111593061290317,3.836646678999955,604.626249011,608.46289569
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,17,4,128,32,0.15909970699999576,0.11539653909677518,3.736392419000026,604.625056427,608.361448846
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,17,5,128,32,0.7035134609999432,0.10108626751612944,3.837187753999956,604.625428187,608.462615941
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,17,6,128,32,0.7027753429999848,0.10110811700000003,3.8371269699999857,604.626003501,608.463130471
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,17,7,128,32,0.7044134550000081,0.10111414890322536,3.8389520709999942,604.624275741,608.463227812
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,18,0,128,32,0.7101999899999782,0.10105904941935345,3.8430305219999354,608.465877649,612.308908171
training,phase_training,phase_training_pulse_00,decode,128,32,8,46.0,2040,18,1,128,32,0.7095522930000016,0.101024849419354,3.8413226249999752,608.466638499,612.307961124
